"movie","budget","openinggross","openingtheaters","knownstory","sequel","opensummer","openholiday","openchristmas","criticsopinion","comedy"
"Date Movie",20000000,19076261,2896,0,"no",0,0,0,11,1
"The Grudge 2",20000000,20825300,3211,0,"yes",1,0,0,33,0
"Babel",20000000,5558095,1251,0,"no",0,0,0,69,0
"She's the Man",20000000,10730372,2623,1,"no",0,0,0,45,1
"Stick It",20000000,10803610,2038,0,"no",0,0,0,53,0
"The Covenant",20000000,8852458,2681,0,"no",0,0,0,19,0
"Stay Alive",20000000,10726406,2009,0,"no",0,0,0,24,0
"ATL",20000000,11554404,1602,0,"no",0,0,0,63,0
"One Night with the King",20000000,4120497,909,1,"no",0,0,0,38,0
"Pulse",20500000,8203822,2323,1,"no",0,1,1,27,0
"Accepted",23000000,10023835,2914,0,"no",0,0,0,47,1
"Rocky Balboa",24000000,12158168,3017,0,"yes",1,0,0,63,0
"The Omen (2006)",25000000,16026496,2723,1,"no",0,0,0,43,0
"Final Destination 3",25000000,19173094,2880,0,"yes",0,0,0,41,0
"Nanny McPhee",25000000,14503650,1995,1,"no",0,0,0,59,1
"Unaccompanied Minors",25000000,5815474,2775,0,"no",1,0,0,43,1
"Lucky Number Slevin",27000000,7031921,1984,0,"no",0,0,0,53,0
"Just My Luck",28000000,5692285,2541,0,"no",1,1,0,29,1
"Stranger Than Fiction",30000000,13411093,2264,0,"no",1,0,0,67,1
"Gridiron Gang",30000000,14414630,3504,0,"no",0,0,0,52,0
"Take the Lead",30000000,12051277,3009,0,"no",0,0,0,55,0
"Ultraviolet",30000000,9064880,2558,0,"no",0,0,1,18,0
"The Benchwarmers",33000000,19656429,3274,0,"no",0,0,0,25,1
"Snakes on a Plane",33000000,13806311,3555,0,"no",1,0,0,58,0
"The Devil Wears Prada",35000000,27537244,2847,1,"no",0,0,0,62,1
"Nacho Libre",35000000,28309599,3070,0,"no",0,0,0,52,1
"The Nativity Story",35000000,7849304,3083,1,"no",0,0,0,52,0
"School for Scoundrels",35000000,8602333,3004,1,"no",1,0,0,44,1
"Eight Below",40000000,20188176,3066,1,"no",0,1,0,64,0
"Big Momma's House 2",40000000,27736056,3261,0,"yes",0,1,1,34,1
"The Prestige",40000000,14801808,2281,1,"no",0,0,0,66,0
"The Lake House",40000000,13616196,2645,1,"no",1,0,0,52,0
"Apocalypto",40000000,15005604,2465,0,"no",0,0,0,68,0
"The Wicker Man",40000000,9610204,2784,1,"no",1,0,0,36,0
"Marie Antoinette",40000000,5361050,859,1,"no",1,0,0,65,0
"Scary Movie 4",45000000,40222875,3602,0,"yes",1,0,0,40,0
"Inside Man",45000000,28954945,2818,0,"no",0,0,0,76,0
"Underworld: Evolution",45000000,26857181,3207,0,"yes",0,0,0,36,0
"Last Holiday",45000000,12806188,2514,1,"no",0,0,1,52,0
"16 Blocks",45000000,11855260,2706,0,"no",1,0,0,63,0
"Failure to Launch",50000000,24411322,3057,0,"no",0,0,0,47,1
"RV",50000000,16414767,3639,0,"no",0,0,0,33,1
"Curious George",50000000,14703405,2566,1,"no",0,0,0,62,0
"Silent Hill",50000000,20152598,2926,1,"no",0,1,1,30,0
"The Ant Bully",50000000,8432465,3050,1,"no",0,0,0,59,0
"The Black Dahlia",50000000,10005895,2226,1,"no",0,0,0,49,0
"Barnyard: The Original Party Animals",51000000,15820864,3311,0,"no",1,0,0,42,0
"The Break-Up",52000000,39172785,3070,0,"no",0,0,0,45,1
"You, Me and Dupree",54000000,21525560,3131,0,"no",0,0,0,46,1
"V for Vendetta",54000000,25642340,3365,1,"no",0,0,0,62,0
"The Pursuit of Happiness",55000000,26541709,2852,0,"no",1,0,0,64,0
"The Shaggy Dog",60000000,16310058,3501,1,"no",0,0,0,43,1
"The Sentinel",60000000,14367854,2819,1,"no",1,0,0,48,0
"Flyboys",60000000,6004219,2033,0,"no",1,0,0,47,0
"Little Man",64000000,21613176,2533,0,"no",0,0,0,26,1
"World Trade Center",65000000,18730762,2957,0,"no",0,0,0,66,0
"Lady in the Water",70000000,18044396,3235,0,"no",0,0,0,36,0
"Talladega Nights: The Ballad of Ricky Bobby",72500000,47042215,3803,0,"no",0,0,0,66,1
"Dreamgirls",75000000,8953734,852,0,"no",0,0,0,76,0
"Monster House",75000000,22217226,3553,0,"no",1,0,0,68,0
"Deja Vu",75000000,20574802,3108,0,"no",1,1,0,59,0
"Children of Men",76000000,10197775,1209,1,"no",0,0,0,84,0
"The Pink Panther",80000000,20220412,3477,1,"yes",0,0,0,38,1
"The Wild",80000000,9684809,2854,0,"no",0,0,1,47,0
"Click",82500000,40011365,3749,0,"no",1,0,0,45,1
"Open Season",85000000,23624548,3833,0,"no",0,0,0,49,0
"Charlotte's Web",85000000,11457353,3566,1,"no",0,0,0,68,1
"The Holiday",85000000,12778913,2610,0,"no",1,1,0,52,1
"Arthur and the Invisibles",86000000,4294936,2247,0,"no",1,0,0,39,0
"The Departed",90000000,26887467,3017,1,"no",0,0,1,86,0
"Flags of Our Fathers",90000000,10245190,1876,1,"no",1,0,0,79,0
"Happy Feet",100000000,41533432,3804,0,"no",1,0,0,77,0
"Eragon",100000000,23239907,3020,1,"no",0,0,0,38,0
"Blood Diamond",100000000,8648324,1910,0,"no",0,0,1,63,0
